iter	Logloss
0	0.6274180074
1	0.5622083188
2	0.5109035035
3	0.4773433291
4	0.4436084059
5	0.423970561
6	0.4007105025
7	0.3862601197
8	0.3670478496
9	0.3555557839
10	0.340088262
11	0.328321662
12	0.3218555257
13	0.311421052
14	0.3043983258
15	0.2966893566
16	0.2903437431
17	0.2852965194
18	0.2774716391
19	0.2736267956
20	0.2663738568
21	0.2607313547
22	0.2553161095
23	0.2514302716
24	0.2483365134
25	0.2447358416
26	0.2403106225
27	0.2374904238
28	0.2343669682
29	0.2305449511
30	0.2263188082
31	0.2237624658
32	0.2216727855
33	0.2184914363
34	0.2155038396
35	0.2125567577
36	0.2080917513
37	0.20635878
38	0.2045205138
39	0.2020281623
40	0.1998162879
41	0.1969544293
42	0.1926314874
43	0.1907668975
44	0.1877741785
45	0.1841214008
46	0.1816159262
47	0.1804203242
48	0.1795372489
49	0.1778867462
50	0.1759808832
51	0.1743161122
52	0.1725806339
53	0.1695014845
54	0.1677407348
55	0.1652256499
56	0.1634470725
57	0.1613778043
58	0.1598096929
59	0.1590161739
60	0.1566497617
61	0.1544411371
62	0.1525994353
63	0.1514189993
64	0.150704498
65	0.1495242477
66	0.1479041543
67	0.1467311929
68	0.1455001057
69	0.1439740411
70	0.1427095425
71	0.1417201044
72	0.1396563145
73	0.1383506357
74	0.136586729
75	0.1344221939
76	0.132895665
77	0.1314830664
78	0.1304960425
79	0.1297299925
80	0.1288092035
81	0.1276429739
82	0.1264681245
83	0.1243656073
84	0.1233273288
85	0.1221302025
86	0.1206708138
87	0.1194529195
88	0.1177503497
89	0.1162394587
90	0.1143460303
91	0.1127494054
92	0.1113295487
93	0.1096771581
94	0.1079469878
95	0.1062473816
96	0.1052754462
97	0.104263739
98	0.1036276827
99	0.1019232481
