iter	Passed	Remaining
0	18	1834
1	34	1671
2	48	1581
3	63	1527
4	79	1504
5	94	1480
6	104	1386
7	110	1267
8	116	1178
9	121	1094
10	126	1024
11	132	972
12	138	925
13	143	882
14	149	845
15	154	812
16	162	791
17	167	762
18	173	739
19	179	718
20	185	696
21	190	674
22	196	659
23	201	639
24	206	620
25	213	607
26	218	591
27	223	574
28	229	562
29	234	547
30	241	537
31	246	523
32	250	508
33	256	496
34	262	486
35	267	474
36	272	464
37	277	453
38	283	442
39	288	432
40	293	422
41	298	412
42	304	402
43	309	393
44	314	384
45	319	375
46	325	366
47	330	357
48	335	348
49	340	340
50	346	332
51	351	324
52	357	316
53	362	308
54	367	300
55	372	293
56	378	285
57	384	278
58	389	270
59	394	263
60	399	255
61	405	248
62	411	241
63	417	234
64	422	227
65	427	220
66	433	213
67	438	206
68	443	199
69	449	192
70	454	185
71	459	178
72	464	171
73	470	165
74	475	158
75	480	151
76	486	145
77	491	138
78	496	132
79	501	125
80	506	118
81	512	112
82	518	106
83	523	99
84	528	93
85	533	86
86	538	80
87	544	74
88	549	67
89	554	61
90	560	55
91	565	49
92	571	42
93	576	36
94	581	30
95	586	24
96	591	18
97	597	12
98	601	6
99	606	0
